,date,home_team,away_team,home_score,away_score,tournament
662,3/16/1995,Sweden,Netherlands,2,1,Algarve Cup
663,3/16/1995,Portugal,United States,0,3,Algarve Cup
664,3/16/1995,Denmark,Finland,3,0,Algarve Cup
665,3/17/1995,Netherlands,Italy,0,2,Algarve Cup
666,3/17/1995,Sweden,Norway,0,2,Algarve Cup
667,3/17/1995,Denmark,United States,2,0,Algarve Cup
668,3/17/1995,Portugal,Finland,0,2,Algarve Cup
669,3/18/1995,South Africa,Nigeria,1,7,African Championship
670,3/19/1995,Portugal,Italy,1,4,Algarve Cup
671,3/19/1995,Finland,Netherlands,1,1,Algarve Cup
672,3/19/1995,Norway,United States,3,3,Algarve Cup
673,3/19/1995,Sweden,Denmark,3,2,Algarve Cup
674,3/26/1995,Germany,Sweden,3,2,UEFA Euro
675,6/5/1995,Germany,Japan,1,0,FIFA World Cup
676,6/5/1995,Sweden,Brazil,0,1,FIFA World Cup
677,6/6/1995,Norway,Nigeria,8,0,FIFA World Cup
678,6/6/1995,England,Canada,3,2,FIFA World Cup
679,6/6/1995,United States,China PR,3,3,FIFA World Cup
680,6/6/1995,Denmark,Australia,5,0,FIFA World Cup
681,6/7/1995,Sweden,Germany,3,2,FIFA World Cup
682,6/7/1995,Brazil,Japan,1,2,FIFA World Cup
683,6/8/1995,Norway,England,2,0,FIFA World Cup
684,6/8/1995,Nigeria,Canada,3,3,FIFA World Cup
685,6/8/1995,United States,Denmark,2,0,FIFA World Cup
686,6/8/1995,China PR,Australia,4,2,FIFA World Cup
687,6/9/1995,Sweden,Japan,2,0,FIFA World Cup
688,6/9/1995,Brazil,Germany,1,6,FIFA World Cup
689,6/10/1995,Norway,Canada,7,0,FIFA World Cup
690,6/10/1995,Nigeria,England,2,3,FIFA World Cup
691,6/10/1995,United States,Australia,4,1,FIFA World Cup
692,6/10/1995,China PR,Denmark,3,1,FIFA World Cup
693,6/13/1995,Japan,United States,0,4,FIFA World Cup
694,6/13/1995,Norway,Denmark,3,1,FIFA World Cup
695,6/13/1995,Germany,England,3,0,FIFA World Cup
696,6/13/1995,Sweden,China PR,1,1,FIFA World Cup
697,6/15/1995,United States,Norway,0,1,FIFA World Cup
698,6/15/1995,Germany,China PR,1,0,FIFA World Cup
699,6/17/1995,China PR,United States,0,2,FIFA World Cup
700,6/18/1995,Germany,Norway,0,2,FIFA World Cup
701,9/12/1995,Poland,Estonia,9,0,UEFA Euro qualification
702,9/16/1995,Bulgaria,Ukraine,0,1,UEFA Euro qualification
703,9/17/1995,Iceland,Russia,1,4,UEFA Euro qualification
704,9/17/1995,Czech Republic,Estonia,11,0,UEFA Euro qualification
705,9/17/1995,Austria,FR Yugoslavia,2,1,UEFA Euro qualification
706,9/19/1995,Norway,Slovakia,17,0,UEFA Euro qualification
707,9/20/1995,Finland,Germany,0,3,UEFA Euro qualification
708,9/23/1995,Taiwan,Thailand,3,0,AFC Championship
709,9/23/1995,Japan,South Korea,1,0,AFC Championship
710,9/23/1995,Uzbekistan,India,1,0,AFC Championship
711,9/24/1995,Faroe Islands,Republic of Ireland,0,2,UEFA Euro qualification
712,9/24/1995,China PR,Philippines,21,0,AFC Championship
713,9/24/1995,Hong Kong,Kazakhstan,0,0,AFC Championship
714,9/25/1995,Malaysia,Taiwan,0,8,AFC Championship
